Date,Price,Fear_Greed
"24 Jul, 2018","8,407.0",49
"25 Jul, 2018","8,173.7",54
"26 Jul, 2018","7,937.0",53
"27 Jul, 2018","8,187.4",47
"28 Jul, 2018","8,234.1",54
"29 Jul, 2018","8,215.6",54
"30 Jul, 2018","8,177.1",53
"31 Jul, 2018","7,729.4",48
"1 Aug, 2018","7,606.4",39
"2 Aug, 2018","7,535.6",39
"3 Aug, 2018","7,419.0",36
"4 Aug, 2018","7,014.3",31
"5 Aug, 2018","7,027.1",23
"6 Aug, 2018","6,943.6",25
"7 Aug, 2018","6,724.9",25
"8 Aug, 2018","6,283.6",23
"9 Aug, 2018","6,538.8",19
"10 Aug, 2018","6,152.3",21
"11 Aug, 2018","6,231.6",18
"12 Aug, 2018","6,313.0",18
"13 Aug, 2018","6,255.3",21
"14 Aug, 2018","6,190.2",16
"15 Aug, 2018","6,256.9",18
"16 Aug, 2018","6,306.7",21
"17 Aug, 2018","6,581.7",19
"18 Aug, 2018","6,379.1",24
"19 Aug, 2018","6,481.5",27
"20 Aug, 2018","6,268.1",26
"21 Aug, 2018","6,482.2",19
"22 Aug, 2018","6,359.6",21
"23 Aug, 2018","6,521.2",18
"24 Aug, 2018","6,680.4",19
"25 Aug, 2018","6,734.8",22
"26 Aug, 2018","6,712.7",19
"27 Aug, 2018","6,897.6",18
"28 Aug, 2018","7,074.6",19
"29 Aug, 2018","7,029.1",19
"30 Aug, 2018","6,993.7",22
"31 Aug, 2018","7,033.8",17
"1 Sep, 2018","7,189.6",21
"2 Sep, 2018","7,293.9",18
"3 Sep, 2018","7,264.2",19
"4 Sep, 2018","7,377.5",26
"5 Sep, 2018","6,706.8",17
"6 Sep, 2018","6,514.0",14
"7 Sep, 2018","6,390.9",17
"8 Sep, 2018","6,184.3",18
"9 Sep, 2018","6,238.5",13
"10 Sep, 2018","6,321.0",15
"11 Sep, 2018","6,293.9",18
"12 Sep, 2018","6,338.0",14
"13 Sep, 2018","6,482.9",20
"14 Sep, 2018","6,483.7",23
"15 Sep, 2018","6,519.0",24
"16 Sep, 2018","6,500.2",28
"17 Sep, 2018","6,251.9",25
"18 Sep, 2018","6,342.0",21
"19 Sep, 2018","6,390.4",24
"20 Sep, 2018","6,489.2",24
"21 Sep, 2018","6,766.7",31
"22 Sep, 2018","6,729.6",35
"23 Sep, 2018","6,704.1",38
"24 Sep, 2018","6,584.1",43
"25 Sep, 2018","6,445.1",37
"26 Sep, 2018","6,468.1",37
"27 Sep, 2018","6,689.2",42
"28 Sep, 2018","6,636.0",42
"29 Sep, 2018","6,603.9",37
"30 Sep, 2018","6,635.2",34
"1 Oct, 2018","6,608.2",35
"2 Oct, 2018","6,549.9",33
"3 Oct, 2018","6,507.8",36
"4 Oct, 2018","6,584.2",29
"5 Oct, 2018","6,639.1",37
"6 Oct, 2018","6,596.3",34
"7 Oct, 2018","6,611.0",29
"8 Oct, 2018","6,669.6",26
"9 Oct, 2018","6,650.8",31
"10 Oct, 2018","6,618.0",28
"11 Oct, 2018","6,239.1",19
"12 Oct, 2018","6,291.3",13
"13 Oct, 2018","6,321.7",15
"14 Oct, 2018","6,326.8",18
"15 Oct, 2018","6,699.8",20
"16 Oct, 2018","6,705.3",24
"17 Oct, 2018","6,686.6",23
"18 Oct, 2018","6,574.1",26
"19 Oct, 2018","6,512.0",24
"20 Oct, 2018","6,572.2",21
"21 Oct, 2018","6,583.0",21
"22 Oct, 2018","6,555.8",27
"23 Oct, 2018","6,528.7",24
"24 Oct, 2018","6,530.7",23
"25 Oct, 2018","6,507.0",25
"26 Oct, 2018","6,510.0",29
"27 Oct, 2018","6,494.2",33
"28 Oct, 2018","6,486.1",35
"29 Oct, 2018","6,335.0",34
"30 Oct, 2018","6,325.7",31
"31 Oct, 2018","6,365.9",32
"1 Nov, 2018","6,400.5",29
"2 Nov, 2018","6,424.7",36
"3 Nov, 2018","6,386.2",36
"4 Nov, 2018","6,478.2",41
"5 Nov, 2018","6,459.7",42
"6 Nov, 2018","6,502.8",42
"7 Nov, 2018","6,565.3",48
"8 Nov, 2018","6,474.0",51
"9 Nov, 2018","6,412.0",47
"10 Nov, 2018","6,427.1",52
"11 Nov, 2018","6,446.1",54
"12 Nov, 2018","6,435.0",52
"13 Nov, 2018","6,429.2",56
"14 Nov, 2018","5,842.4",49
"15 Nov, 2018","5,718.9",28
"16 Nov, 2018","5,636.2",23
"17 Nov, 2018","5,621.8",24
"18 Nov, 2018","5,658.3",26
"19 Nov, 2018","4,883.8",28
"20 Nov, 2018","4,524.6",21
"21 Nov, 2018","4,638.7",15
"22 Nov, 2018","4,356.0",14
"23 Nov, 2018","4,398.0",12
"24 Nov, 2018","3,920.4",15
"25 Nov, 2018","4,062.2",9
"26 Nov, 2018","3,837.0",17
"27 Nov, 2018","3,866.5",11
"28 Nov, 2018","4,265.4",14
"29 Nov, 2018","4,296.5",18
"30 Nov, 2018","4,039.7",19
"1 Dec, 2018","4,196.2",13
"2 Dec, 2018","4,160.4",15
"3 Dec, 2018","3,897.8",17
"4 Dec, 2018","3,958.5",12
"5 Dec, 2018","3,771.6",19
"6 Dec, 2018","3,508.6",13
"7 Dec, 2018","3,422.2",11
"8 Dec, 2018","3,430.4",11
"9 Dec, 2018","3,567.5",14
"10 Dec, 2018","3,460.5",19
"11 Dec, 2018","3,407.7",15
"12 Dec, 2018","3,466.1",14
"13 Dec, 2018","3,315.3",14
"14 Dec, 2018","3,247.8",10
"15 Dec, 2018","3,228.7",11
"16 Dec, 2018","3,247.9",13
"17 Dec, 2018","3,526.1",17
"18 Dec, 2018","3,668.0",23
"19 Dec, 2018","3,687.1",21
"20 Dec, 2018","4,076.0",27
"21 Dec, 2018","3,850.9",35
